	title	title_link	start_date	end_date	type	category	place	title2
11	ANIMH International Conference on Information Technology & Computer and Software Engineering (ITCSE)3rd edition	https://10times.com/itcse-seoul	Tue, 11 Feb 2020	Wed, 12 Feb 2020	Conference	['Education & Training', 'IT & Technology']	 Nine Tree Premier Hotel Myeongdong2, Seoul	ANIMH International Conference on Information Technology & Computer and Software Engineering features engineers, experts in information technology, information science, management, business logistics,...
12	International Academic Research Conference in Business Social Science and Humanities (ABSH)	https://10times.com/absh	Tue, 11 Feb 2020	Wed, 12 Feb 2020	Conference	['Science & Research', 'Banking & Finance']	 Nine Tree Premier Hotel Myeongdong2, Seoul	International Symposium on Economics and Social Sciences
13	Asia Pacific Corpus Linguistics Conference (APCLC)	https://10times.com/apclc-seoul	Tue, 11 Feb 2020	Fri, 14 Feb 2020	Conference	['Business Services', 'Education & Training']	 Yonsei University, Seoul	The Asia Pacific Corpus Linguistics Conference will provide the attendees with the opportunity to gain insights into topics such as Corpora & Discourse Analysis, Corpora & Lexical Studies, Corpora & Grammatical...
14	HOTEL FAIR (HOTELFAIR)	https://10times.com/hotelfair	Wed, 12 Feb 2020	Fri, 14 Feb 2020	Tradeshow	['Textile, Fabrics & Yarns', 'Lights & Lighting', 'Hospitality']	 COEX Convention Center, Seoul	Hotel Fair is Korea’s No.1 solely hotel business related B2B exhibition.
15	Asia Pacific Bioinformatics Conference (APBC)18th edition	https://10times.com/apbc-seoul	Wed, 12 Feb 2020	Fri, 14 Feb 2020	Conference	['Science & Research', 'IT & Technology']	 Hotel Samjung, Seoul	Asia Pacific Bioinformatics Conference is an annual international forum for exploring research, development and novel applications in the field of bioinformatics. The aim of APBC is to bring together academia...
16	Housing Brand Fair16th edition	https://10times.com/housing-brand-fair	Thu, 13 Feb 2020	Sun, 16 Feb 2020	Tradeshow	['Building & Construction']	 COEX Mall, Seoul	House interior and exterior, outdoor furniture
17	International Symposium on Advanced Materials and Application (ISAMA)	https://10times.com/isama-ed	Fri, 14 Feb 2020	Sun, 16 Feb 2020	Conference	['Industrial Engineering']	 Fraser Place Central Seoul, Seoul	International Symposium on Advanced Materials and Application conference will bring together leaders from industry and academia to exchange and share their experiences, present research results, explore...
18	International Conference on Communication, Electronics and Electrical Engineering (ICCEEE)	https://10times.com/icceee-south-korea	Thu, 20 Feb 2020	Thu, 20 Feb 2020	Conference	['Electric & Electronics', 'Industrial Engineering']	 Hotel Skypark Kingstown Dongdaemun, Seoul	The International Conference on Communication, Electronics and Electrical Engineering aims to provide the opportunity for the global participants to share their ideas and experience in person with their...
19	International Conference on Recent Developments in Social Science and Business Management (ICRDSSBM)	https://10times.com/icrdssbm-south-korea	Thu, 20 Feb 2020	Thu, 20 Feb 2020	Conference	['Science & Research', 'Business Services']	 GLAD Mapo, Jikhalsi  2.2 Miles from Seoul	The International Conference on Recent Developments in Social Science and Business Management aims to provide the opportunity for the global participants to share their ideas and experience in person with...
20	International Conference on Education, Business, Humanities and Social Sciences (ICEBHS)	https://10times.com/icebhs-seoul	Thu, 20 Feb 2020	Fri, 21 Feb 2020	Conference	['Science & Research', 'Education & Training']	 Hotel Skypark Kingstown Dongdaemun, Seoul	International Conference on Education, Business, Humanities and Social Sciences aims to provide the platform for Students, Engineers, Researchers and Scientists to share the knowledge and ideas in the...
21	International Association of Surgeons, Gastroenterologists and Oncologists & the Korean Society of Gastrointestinal Cancer Joint Symposium (IASGO & KSGC)	https://10times.com/iasgo-ksgc-seoul	Fri, 21 Feb 2020	Sat, 22 Feb 2020	Conference	['Medical & Pharma']	 Grand Hilton Seoul, Seoul	International Association of Surgeons, Gastroenterologists and Oncologists & the Korean Society of Gastrointestinal Cancer Joint Symposium, the theme is A Step on the Road to Overcome GI Cancer, we are...
22	BeFe Baby Fair (BeFe BABYFAIR)	https://10times.com/bbfseoul	Thu, 20 Feb 2020	Sun, 23 Feb 2020	Tradeshow	['Baby, Kids & Maternity']	 COEX Mall, Seoul	Beyond Fair & Exhibition
23	Glassman Asia (GMA)	https://10times.com/glassman-asia-incheon	Tue, 25 Feb 2020	Wed, 26 Feb 2020	Tradeshow	['Industrial Engineering']	 Songdo Convensia (Songdo ConvensiA), Incheon  22 Miles from Seoul	Glassman Asia brings together glassmakers with leading technology suppliers. The two-day show will include a conference that will focus on the latest trends, issues, and opportunities in the glassmaking...
24	ICEF Japan Korea Agent Roadshow	https://10times.com/icef-japan-korea-agent-roadshow	Tue, 25 Feb 2020	Thu, 27 Feb 2020	Tradeshow	['Education & Training']	 Lotte Hotel Seoul, Seoul	The ICEF Japan – Korea Agent Roadshow is the most efficient and cost-effective way to conveniently meet a large number of quality agents. It provides international educators and service providers with...
25	ICGN Seoul Conference	https://10times.com/icgn-seoul-conference-seoul	Thu, 27 Feb 2020	Fri, 28 Feb 2020	Conference	['Business Services', 'Education & Training']	 The Westin Chosun, Seoul, Seoul	ICGN Seoul Conference aims to help keep attendees informed of the latest corporate governance developments, by providing best practice guidance, updates from policy makers and insights from leading speakers...
26	Immersive Asia Tour Seoul	https://10times.com/asia-tour-seoul	Sun, 23 Feb 2020	Sat, 29 Feb 2020	Tradeshow	['Travel & Tourism']	 Seoul	Immersive Asia Tour Seoul event features recruitment touring services and consulting services, educational services and etc.
27	Nigeria - Asia Week & Trade Expo	https://10times.com/nigeria-asia-week-trade-expo	Mon, 24 Feb 2020	Sat, 29 Feb 2020	Tradeshow	['Business Services', 'Banking & Finance']	 Grand Hilton Seoul, Seoul	Economic Business & Investment Exchange
28	KOREA BUILD	https://10times.com/seoul-build	Wed, 26 Feb 2020	Sun, 01 Mar 2020	Tradeshow	['Building & Construction', 'Industrial Products', 'Architecture & Designing', 'Furniture']	 Kintex, Goyang-si  14.5 Miles from Seoul	Korea Building Material & Interior Design Exhibition
29	Seoul International Sports & Leisure Industry Show	https://10times.com/seoul-sports-leisure	Thu, 27 Feb 2020	Sun, 01 Mar 2020	Tradeshow	['Sports & Sporting', 'Entertainment & Media']	 COEX Convention Center, Seoul	Seoul International Sports & Leisure Industry Show is the largest exhibition in the nation and the TOP2 sports and leisure industry in Asia. It is the only comprehensive exhibition that covers the whole...
30	Cephalocon Seoul	https://10times.com/cephalocon-jikhalsi	Tue, 03 Mar 2020	Thu, 05 Mar 2020	Conference	['IT & Technology']	 Dragon city, Jikhalsi  2.1 Miles from Seoul	Cephalocon Seoul aims to bring together technologists and adopters from across the globe to showcase Ceph’s history and its future, demonstrate real-world applications, and highlight vendor solutions....
31	Oled Korea Conference	https://10times.com/oled-korea-conference	Wed, 04 Mar 2020	Thu, 05 Mar 2020	Conference	['Electric & Electronics']	 Novotel Ambassador Seoul Gangnam, Seoul	Oled Korea Conference focuses on the needs and interests of the panel manufactures, equipment makers and OLED suppliers for parts and materials to the conference program directly by having representatives...
32	Korea Aero Summit (KAS)	https://10times.com/kas-seoul	Wed, 04 Mar 2020	Thu, 05 Mar 2020	Conference	['Travel & Tourism', 'Logistics & Transportation']	 Sheraton Seoul D Cube City Hotel, Seoul	A platform to connect, network and discuss the present and future of Korea air travel industry
33	Smart Factory + Automation World Show (SF+AW)31st edition	https://10times.com/automation-worldshow-korea	Wed, 04 Mar 2020	Fri, 06 Mar 2020	Tradeshow	['Industrial Engineering', 'Logistics & Transportation', 'Automation & Robotics', 'Plant & Machinery']	 COEX Convention Center, Seoul	Digital Transforming in Manufacturing
34	Digital Marketing Summit (DMS)	https://10times.com/dms-seoul	Wed, 04 Mar 2020	Fri, 06 Mar 2020	Conference	['IT & Technology']	 COEX Convention Center, Seoul	The Digital Marketing Summit, in 4 short years, has become the heartland of sophisticated modern marketers. The event has helped to activate brands and to cement the position as a professional and skilled...
35	Korea Investor Conference	https://10times.com/investor-conferenceconrad-seoul	Thu, 05 Mar 2020	Fri, 06 Mar 2020	Conference	['Banking & Finance']	 Seoul	The Korea Investor Conference will create solutions and provide the broadest possible capital and market access to thousands of issuer and investor clients. And no institution better executes the increasingly...
36	Korea Golf Fair (KGF)17th edition	https://10times.com/kgf	Thu, 05 Mar 2020	Sun, 08 Mar 2020	Tradeshow	['Education & Training', 'Wellness, Health & Fitness']	 KINTEX Exhibition Center 1, Goyang-si  14.7 Miles from Seoul	Promoting golf brands in Korea Market
37	Dong Tea and Crafts Fair	https://10times.com/east-car-and-crafts-fair	Fri, 06 Mar 2020	Sun, 08 Mar 2020	Tradeshow	['Arts & Crafts', 'Food & Beverages']	 ConvensiA Convention Center, Incheon  22 Miles from Seoul	Dong tea and Crafts Fair tea and craft exhibition, which will be held at the same time as the 50th MBC Architecture Expo, will not only provide a glimpse into the latest products and trends for tea and...
38	Korea International Conference on Humanities, Social Science and Business Studies (KIBSS)	https://10times.com/kibss	Tue, 10 Mar 2020	Tue, 10 Mar 2020	Conference	['Science & Research', 'Business Services']	 Crown Park Hotel Seoul, Seoul	The Korea International Conference on Humanities, Social Science and Business Studies (KIBSS) will discuss on History, Archaeology, Linguistic and language, Religion, Anthropology, Psychology, Economic,...
39	Asian-Australasian Federation of Interventional and Therapeutic Neuroradiology Conference (AAFITN)14th edition	https://10times.com/aafitn-seoul	Wed, 11 Mar 2020	Fri, 13 Mar 2020	Conference	['Medical & Pharma']	 COEX Mall, Seoul	Asian-Australasian Federation of Interventional and Therapeutic Neuroradiology Conference  has been the globalization of medical knowledge related to Interventional and Therapeutic Neuroradiology through...
40	International Conference on Issue in the Field of Social Sciences, Economic and Knowledge Management (SSEK)	https://10times.com/ssek	Thu, 12 Mar 2020	Fri, 13 Mar 2020	Conference	['Education & Training']	 Nine Tree Premier Hotel Myeongdong2, Seoul	International Symposium on Economics and Social Sciences
41	ANIMH International Conference on Telecommunications, Applied Sciences & Engineering Management (TAEM)	https://10times.com/taem	Thu, 12 Mar 2020	Fri, 13 Mar 2020	Conference	['Science & Research', 'IT & Technology']	 Nine Tree Premier Hotel Myeongdong2, Seoul	The ANIMH International Conference on Telecommunications, Applied Sciences & Engineering Management focuses on the topics such as Smart Engineering Technology, Smart Data Science and Big Data, Smart Information...
42	Asian Joint Conference on Propulsion and Power (AJCPP)10th edition	https://10times.com/ajcpp	Wed, 11 Mar 2020	Sat, 14 Mar 2020	Conference	['Industrial Engineering', 'Power & Energy']	 ConvensiA Convention Center, Incheon  22 Miles from Seoul	The Asian Joint Conference on Propulsion and Power is the joint holdings of international conferences, relating to aerospace/mechanical engineering, thermo-fluid/electro-magnetic/plasma physics, structural/material...
43	Seoul Living Design Fair (SLDF)26th edition	https://10times.com/seoul-living-design	Wed, 11 Mar 2020	Sun, 15 Mar 2020	Tradeshow	['Furnishings & Decor', 'Architecture & Designing', 'Home & Office']	 COEX Convention Center, Seoul	Like a hotel!
44	Camping & Picnic Fair	https://10times.com/international-camping-fair	Thu, 12 Mar 2020	Sun, 15 Mar 2020	Tradeshow	['Sports & Sporting', 'Travel & Tourism', 'Entertainment & Media']	 KINTEX Exhibition Hall 2, Goyang-si  14.6 Miles from Seoul	Camping & Picnic Fair is an exhibition that introduces new products and lead culture in accordance with changes in their trends. It features camping based products and services associated with this field...
45	Korea International Boat Show	https://10times.com/korea-boat-show	Fri, 13 Mar 2020	Sun, 15 Mar 2020	Tradeshow	['Auto & Automotive', 'Logistics & Transportation', 'Marine & Boat']	 Kintex, Goyang-si  14.5 Miles from Seoul	The Sports Goods, Games, Toys & Accessories Industry.
46	Growth Frontiers Conference	https://10times.com/growth-frontiers-conference	Tue, 17 Mar 2020	Wed, 18 Mar 2020	Conference	['Logistics & Transportation']	 Conrad Seoul, Seoul	The Growth Frontiers Conference illustrates the best in class developments and trends in aircraft finance and leasing of aviation assets and the conference convenes delegates across the aviation industry...
47	Seoul MBA Conference & Expo	https://10times.com/seoul-mba	Wed, 18 Mar 2020	Wed, 18 Mar 2020	Tradeshow	['Education & Training']	 InterContinental Seoul Coex, Seoul	Seoul MBA & Business Masters Conference emphasizes personal interaction between prospective MBA students, business school admissions representatives, alumni and other like minded education enthusiasts.
48	OWP Korea	https://10times.com/owp-korea-seoul	Wed, 18 Mar 2020	Thu, 19 Mar 2020	Conference	['Power & Energy']	 Seoul	OWP Korea will highlight areas like Updates on the offshore wind developments/opportunities in South Korea, successful OWP partnership - perspectives from regulator, KEPCO & gencos, supply chain – tapping...
49	Water Korea	https://10times.com/waterkorea	Wed, 18 Mar 2020	Fri, 20 Mar 2020	Tradeshow	['Environment & Waste', 'Air & Water Management']	 KINTEX Exhibition Center 1, Goyang-si  14.7 Miles from Seoul	Water Korea is the largest water industry exhibition in Korea. It is a representative water industry exhibition, connecting related companies, government agencies, academia, and other human networks and...
50	SECON	https://10times.com/secon	Wed, 18 Mar 2020	Fri, 20 Mar 2020	Tradeshow	['Security & Defense', 'Home & Office']	 Kintex, Goyang-si  14.5 Miles from Seoul	International security conference & exhibition.
51	E-Government Information Security Solution Fair (eGISEC)	https://10times.com/egisec	Wed, 18 Mar 2020	Fri, 20 Mar 2020	Tradeshow	['Industrial Engineering', 'Security & Defense']	 KINTEX Exhibition Hall 2, Goyang-si  14.6 Miles from Seoul	e-Government Information Security Solution Exhibition & Conference
52	Digital Pathology & AI Congress: Asia (DPCA)6th edition	https://10times.com/dpca	Thu, 19 Mar 2020	Fri, 20 Mar 2020	Conference	['Medical & Pharma', 'Science & Research']	 Seoul	The congress will have expanded coverage on AI and computational pathology alongside the latest case studies and applications. To complement the latest scientific presentations, the conference comprises...
53	Korea International Beer Expo (KIBEX)	https://10times.com/kibex	Thu, 19 Mar 2020	Sat, 21 Mar 2020	Tradeshow	['Food & Beverages']	 aT Center, Seoul	Join us for Exhibition for Beer Expo
54	Annual Meeting of Cervical Spine Research Society Asia Pacific Section (CSRS-AP)	https://10times.com/csrsap	Thu, 19 Mar 2020	Sat, 21 Mar 2020	Conference	['Medical & Pharma', 'Science & Research']	 Le Méridien Seoul, Jikhalsi  5.1 Miles from Seoul	Annual Meeting of Cervical Spine Research Society Asia Pacific Section aims to promote scientific development in this challenging field and strengthen our friendship. The scientific program will provide...
55	Korea International Medical & Hospital Equipment Show (KIMES)36th edition	https://10times.com/kimes	Thu, 19 Mar 2020	Sun, 22 Mar 2020	Tradeshow	['Medical & Pharma']	 COEX Mall, Seoul	International Exhibition for the Medical and Hospital Equipments
56	International Coating, Adhesive and Film Industry Expo	https://10times.com/adhesive-coating-system-fair	Wed, 25 Mar 2020	Fri, 27 Mar 2020	Tradeshow	['Industrial Engineering', 'Adhesives & Sealants']	 Songdo Convensia (Songdo ConvensiA), Incheon  22 Miles from Seoul	International Coating, Adhesive & Film Industry Expo is an exhibition dedicated to Korea's leading coatings, adhesives and film industries, held every March in Incheon Songdo Convensia. You can find all...
57	International Conference on Surfaces, Coatings and Interfaces (SurfCoat)	https://10times.com/surfcoat	Wed, 25 Mar 2020	Fri, 27 Mar 2020	Conference	['Industrial Engineering', 'Paints & Coatings']	 Songdo Convensia (Songdo ConvensiA), Incheon  22 Miles from Seoul	The International Conference on Surfaces, Coatings, and Interfaces provides a comprehensive overview of the state-of-the-art in the fields of surfaces, coatings and interfaces engineering, discusses recent...
58	Graphene Korea International Conference	https://10times.com/graphene-korea	Wed, 25 Mar 2020	Fri, 27 Mar 2020	Conference	['Science & Research']	 ConvensiA Convention Center, Incheon  22 Miles from Seoul	Graphene Korea International Conference will cover the latest technology developments, applications, commercialization progress, end user requirements and challenges for Graphene and 2D Materials. Don't...
59	Int'l Franchise Seoul Show (IFS)	https://10times.com/franchise-seoul	Thu, 26 Mar 2020	Sat, 28 Mar 2020	Tradeshow	['Business Services', 'Education & Training']	 COEX Mall, Seoul	The Business Facilitation and Consultancy Services Industry Trade Fair
60	HBP Surgery Week	https://10times.com/hbp-surgery-week	Thu, 26 Mar 2020	Sat, 28 Mar 2020	Conference	['Medical & Pharma']	 Seoul Dragon City Hotel, Jikhalsi  2.4 Miles from Seoul	Under the slogan, A Leap from the Foundation to Fine Art, HBP Surgery Week will mark a new stage in our history as the fruits of our hard work transcend beyond mere technical skills into a veritable...
61	International Aesthetic Dermatology Symposium of the Association of Korean Dermatologists (KOREA DERMA)	https://10times.com/korea-derma	Thu, 26 Mar 2020	Sun, 29 Mar 2020	Conference	['Medical & Pharma', 'Science & Research']	 Grand Hilton Seoul, Seoul	Korea Derma 2020 will introduce the Korean dermatologists’ expertise and originality as well as the closeness and excellence of industry-education cooperation by covering various subjects. For this,...
62	Korea Study Abroad & Emigration Fair Seoul	https://10times.com/study-abroad-emigration	Sat, 28 Mar 2020	Sun, 29 Mar 2020	Tradeshow	['Education & Training', 'HR, Jobs & Career']	 COEX Mall, Seoul	Korea Study Abroad & Emigration Fair Seoul is the largest show about studying abroad, working abroad, emigration and investment which brings schools and associations related studying abroad from countries...
63	Aief Education Fairs Seoul	https://10times.com/aief-education-seoul	Sat, 28 Mar 2020	Sun, 29 Mar 2020	Tradeshow	['Education & Training']	 Seoul	The international student recruitment fairs
64	Simtos	https://10times.com/simtos	Tue, 31 Mar 2020	Sat, 04 Apr 2020	Tradeshow	['Industrial Engineering']	 KINTEX공용주차장, Goyang-si  14.4 Miles from Seoul	The 14th Seoul International Machine Tool Show
65	Seoul International Sourcing Fair (SIPREMIUM)	https://10times.com/sipremium	Thu, 02 Apr 2020	Sat, 04 Apr 2020	Tradeshow	['Stationery', 'Fashion & Beauty', 'Consumer Appliances', 'Home & Office']	 COEX Convention Center, Seoul	Seoul International Sourcing Fair - Premium Gifts & Homeware
66	K-Pet Fair	https://10times.com/k-pet-fair	Fri, 03 Apr 2020	Sun, 05 Apr 2020	Tradeshow	['Animals & Pets']	 SETEC, Seoul	K-PET Fair aims to become a healthy platform for the Korean pet industry, which aims to overcome the obstacles of the domestic pet industry and market and pursue desirable development. We will play a role...
67	International Conference on Economics and Business Management (ICEBM)	https://10times.com/icebm-t	Sat, 04 Apr 2020	Sun, 05 Apr 2020	Conference	['Business Services', 'Education & Training']	 Hotel Skypark Kingstown Dongdaemun, Seoul	The International Conference on Economics and Business Management (ICEBM) is to bring together innovative academics and industrial experts in the field of Economics and Business Management to a common...
68	Airway Vista	https://10times.com/vista	Sat, 04 Apr 2020	Sun, 05 Apr 2020	Conference	['Medical & Pharma']	 Asan Medical Center, Seoul, Korea, Seoul	The Airway Vista is one of the biggest symposiums of airway diseases in Asia, which has been created to exchange and update scientific information. It is designed to offer respiratory health professionals...
69	Wireless Communications and Networking Conference (WCNC)	https://10times.com/wcnc-seoul	Mon, 06 Apr 2020	Thu, 09 Apr 2020	Conference	['Telecommunication']	 COEX Mall, Seoul	IEEE WCNC is the world premier wireless event that brings together industry professionals, academics, and individuals from government agencies and other institutions to exchange information and ideas on...
70	CIO Summit Seoul	https://10times.com/cio-summit-seoul	Thu, 09 Apr 2020	Thu, 09 Apr 2020	Conference	['IT & Technology']	 Seoul	The CIO Summit Seoul conference offers chief information officers and IT solution providers and consultants an intimate environment for a focused discussion of key new drivers for IT innovation.
71	KINGCA Week	https://10times.com/kingca-week	Thu, 09 Apr 2020	Sat, 11 Apr 2020	Conference	['Medical & Pharma']	 Lotte Hotel Seoul, Seoul	KINGCA Week will provide the attendees with the opportunity to gain insights relating to topics such as Basic and translational research, Chemotherapy, Adjuvant, Chemotherapy, primary, Complication, Diagnosis,...
72	Coffee Expo Seoul (CES)9th edition	https://10times.com/coffee-expo-seoul	Thu, 09 Apr 2020	Sun, 12 Apr 2020	Tradeshow	['Food & Beverages', 'Bakery & Confectionery', 'Tea & Coffee']	 COEX Convention Center, Seoul	Korea’s premier coffee industry and equipment trade show
73	International Conference on Innovative Trends in Economics, Development, Managements and Social Science (EDMS)3rd edition	https://10times.com/edms	Mon, 13 Apr 2020	Tue, 14 Apr 2020	Conference	['Science & Research', 'Business Services']	 Nine Tree Premier Hotel Myeongdong2, Seoul	International Symposium on Economics and Social Sciences
74	ANIMH International Conference on Modern Trends in Industrial Engineering, Artificial Intelligence, Computer and Applied Sciences (IACA)	https://10times.com/iaca-seoul	Mon, 13 Apr 2020	Tue, 14 Apr 2020	Conference	['Science & Research', 'IT & Technology']	 Nine Tree Premier Hotel Myeongdong2, Seoul	ANIMH International Conference on Modern Trends in Industrial Engineering, Artificial Intelligence, Computer and Applied Sciences will cover topics like smart engineering technology, smart data science...
75	KOREA PHARM & BIO (KPB)10th edition	https://10times.com/korea-pharm	Tue, 14 Apr 2020	Thu, 16 Apr 2020	Tradeshow	['Medical & Pharma', 'Drugs & Medicines']	 Kintex, Goyang-si  14.5 Miles from Seoul	Pharmaceutical & Bio-Pharma Exhibition
76	KOREA LAB14th edition	https://10times.com/korea-lab	Tue, 14 Apr 2020	Fri, 17 Apr 2020	Tradeshow	['Chemicals & Dyes', 'Cosmetics', 'Medical & Pharma', 'Science & Research']	 Kintex, Goyang-si  14.5 Miles from Seoul	Korea International Laboratory & Analytical Equipment Exhibition
77	COPHEX	https://10times.com/cophex	Tue, 14 Apr 2020	Fri, 17 Apr 2020	Tradeshow	['Medical & Pharma']	 KINTEX Exhibition Center 1, Goyang-si  14.7 Miles from Seoul	Cosmetic - Pharmaceutical - Bio Process & Technology Exhibition
78	Seoul International Congress of Endocrinology and Metabolism (SICEM)	https://10times.com/sicem	Wed, 15 Apr 2020	Fri, 17 Apr 2020	Conference	['Business Services']	 Grande Walkerhill in Seoul, Seoul	The Seoul International Congress of Endocrinology and Metabolism will be a platform to exchange ideas, discover novel opportunities, reacquaint with colleagues, meet new friends, and broaden professional...
79	Dotmatics User Symposium	https://10times.com/dotmatics-user-symposium-seoul	Fri, 17 Apr 2020	Fri, 17 Apr 2020	Conference	['Business Services']	 InterContinental Grand Seoul Parnas, Seoul	Dotmatics User Symposium provides the opportunity to the attendees to join us in Seoul to see presentations from our customers, hear from our expert team and network with your peers.
80	Seoul Int'l Seafood Show	https://10times.com/seoul-seafood-show	Thu, 16 Apr 2020	Sat, 18 Apr 2020	Tradeshow	['Packing & Packaging', 'Food & Beverages']	 COEX Mall, Seoul	Your Gateway to the Koran Market
81	International Conference of the Korean Pancreatobiliary Association (IC-KPBA)	https://10times.com/ic-kpba-seoul	Fri, 17 Apr 2020	Sat, 18 Apr 2020	Conference	['Medical & Pharma']	 Conrad Seoul, Seoul	International Conference of the Korean Pancreatobiliary Association is an open forum for exchanging new information and ideas related to the basic and clinical sciences in the pancreatobiliary fields.
82	International Conference on Strategic Management (ICSM)6th edition	https://10times.com/icsm-south-korea	Fri, 17 Apr 2020	Sun, 19 Apr 2020	Conference	['Industrial Engineering', 'Business Services']	 Novotel Ambassador Seoul Dongdaemun, Seoul	The objective of the International Conference on Strategic Management is to provide a platform for researchers, engineers, academicians as well as industrial professionals from all over the world to present...
83	International Conference on Food and Agricultural Engineering (ICFAE)	https://10times.com/icfae-seoul	Sat, 18 Apr 2020	Sun, 19 Apr 2020	Conference	['Agriculture & Forestry']	 GLAD Mapo, Jikhalsi  2.2 Miles from Seoul	The International Conference on Food and Agricultural Engineering provides opportunities for the delegates to exchange new ideas and application experiences face to face, to establish business or research...
84	MakeUp in Seoul6th edition	https://10times.com/makeup-in-seoul	Mon, 20 Apr 2020	Tue, 21 Apr 2020	Tradeshow	['Cosmetics', 'Fashion & Beauty']	 Conrad Seoul, Seoul	The MakeUp is a unique B2B make-up event featuring makeup and cosmetic industries. This exhibition displays the latest innovations and services in the cosmetics and spa industry. This event shows products...
85	Korea-Tribology International Symposium (K-TRIB)2nd edition	https://10times.com/k-trib-seoul	Sun, 19 Apr 2020	Wed, 22 Apr 2020	Conference	['Industrial Engineering']	 KIST Korea Institute of Science and Technology, Seoul	Korea-Tribology International Symposium aim is to provide the platform for scientists and engineers from all over the world to share the latest information on a wide range of topics relevant to tribology....
86	South Korea Solar + ESS Summit	https://10times.com/south-korea-solar-ess-summit-seoul	Tue, 21 Apr 2020	Wed, 22 Apr 2020	Conference	['Power & Energy']	 Hotel Grand Ambassador Seoul associated Pullman, Seoul	With new PV installed capacity reached 889MW, 1.3GW, 2.02GW respectively in 2016, 2017 and in 2018, we witness the solar market is growing steadily and is one of the most promising and tremendous solar...
87	Biologistics World Korea	https://10times.com/biologistics-world-korea-incheon	Tue, 21 Apr 2020	Thu, 23 Apr 2020	Conference	['Medical & Pharma', 'Logistics & Transportation']	 Incheon  16.8 Miles from Seoul	Biologistics World Korea is the most targeted event that focuses on supply chain management and logistics for biologics and vaccines and the conference aims to provide insights on key challenges. It will...
